solver,benchmark,group,run,status,result,elapsed_sec,returncode,timed_out
smc,LTL Motion Planning/z3_smtlib/1.smt2,LTL Motion Planning/z3_smtlib,1,ok,,0.26494299100022545,0,False
z3,LTL Motion Planning/z3_smtlib/1.smt2,LTL Motion Planning/z3_smtlib,1,ok,,0.06453185000009398,0,False
smc,LTL Motion Planning/z3_smtlib/10.smt2,LTL Motion Planning/z3_smtlib,1,ok,,1.0169900769997184,0,False
z3,LTL Motion Planning/z3_smtlib/10.smt2,LTL Motion Planning/z3_smtlib,1,ok,,0.3150429490001443,0,False
smc,LTL Motion Planning/z3_smtlib/11.smt2,LTL Motion Planning/z3_smtlib,1,ok,,1.4179758279997259,0,False
z3,LTL Motion Planning/z3_smtlib/11.smt2,LTL Motion Planning/z3_smtlib,1,ok,,0.616339139000047,0,False
smc,LTL Motion Planning/z3_smtlib/12.smt2,LTL Motion Planning/z3_smtlib,1,ok,,1.5190525220000382,0,False
z3,LTL Motion Planning/z3_smtlib/12.smt2,LTL Motion Planning/z3_smtlib,1,ok,,0.4148111989998142,0,False
smc,LTL Motion Planning/z3_smtlib/13.smt2,LTL Motion Planning/z3_smtlib,1,ok,,1.9200267249998433,0,False
z3,LTL Motion Planning/z3_smtlib/13.smt2,LTL Motion Planning/z3_smtlib,1,ok,,1.870034996999948,0,False
smc,LTL Motion Planning/z3_smtlib/14.smt2,LTL Motion Planning/z3_smtlib,1,ok,,2.0705355000000054,0,False
z3,LTL Motion Planning/z3_smtlib/14.smt2,LTL Motion Planning/z3_smtlib,1,ok,,0.6670405270001538,0,False
smc,LTL Motion Planning/z3_smtlib/15.smt2,LTL Motion Planning/z3_smtlib,1,ok,,2.371634103999895,0,False
z3,LTL Motion Planning/z3_smtlib/15.smt2,LTL Motion Planning/z3_smtlib,1,ok,,1.518639930000063,0,False
smc,LTL Motion Planning/z3_smtlib/2.smt2,LTL Motion Planning/z3_smtlib,1,ok,,0.31589158899987524,0,False
